dataset,dataset_type,scenario,model,horizon,mae_baseline,mae_hardened,mae_delta_hardened_minus_baseline,rmse_baseline,rmse_hardened,rmse_delta_hardened_minus_baseline,crps_approx_baseline,crps_approx_hardened,crps_approx_delta_hardened_minus_baseline,coverage95_baseline,coverage95_hardened,coverage95_delta_hardened_minus_baseline,mean_interval_width_baseline,mean_interval_width_hardened,mean_interval_width_delta_hardened_minus_baseline,calibration_error_baseline,calibration_error_hardened,calibration_error_delta_hardened_minus_baseline
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,5,4.1321,1.9190,-2.2131,5.7870,2.3801,-3.4069,3.1790,1.4200,-1.7590,0.8000,1.0000,+0.2000,12.9602,13.9970,+1.0368,0.2500,0.1278,-0.1222
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,6,4.0966,2.1284,-1.9682,5.7317,2.5688,-3.1629,3.1850,1.5014,-1.6836,0.7895,1.0000,+0.2105,12.4583,13.4550,+0.9967,0.2602,0.1725,-0.0877
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,all,3.2632,1.4083,-1.8549,4.8334,1.8392,-2.9942,2.5438,1.2219,-1.3219,0.8605,1.0000,+0.1395,13.5679,14.6533,+1.0854,0.2132,0.1288,-0.0844
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,1,1.9034,0.5641,-1.3393,2.8036,0.6568,-2.1468,1.5211,0.7940,-0.7271,0.9167,1.0000,+0.0833,11.4856,12.4131,+0.9275,0.1944,0.1991,+0.0047
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,2,3.2921,1.0713,-2.2208,4.7854,1.2187,-3.5667,2.5837,0.9350,-1.6487,0.8261,1.0000,+0.1739,11.7258,12.6742,+0.9484,0.2536,0.1377,-0.1159
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,3,4.2156,1.4346,-2.7810,6.0468,1.6782,-4.3686,3.3608,1.0733,-2.2875,0.7727,1.0000,+0.2273,11.3153,12.2312,+0.9159,0.2879,0.0909,-0.1970
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,4,4.7569,1.7277,-3.0292,6.7167,2.0381,-4.6786,3.8374,1.2119,-2.6255,0.6667,1.0000,+0.3333,10.8249,11.7016,+0.8767,0.2989,0.0672,-0.2317
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,5,4.9746,1.9352,-3.0394,6.9490,2.2938,-4.6552,4.0584,1.3275,-2.7309,0.6500,1.0000,+0.3500,10.3243,11.1610,+0.8367,0.3056,0.0833,-0.2223
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,6,4.9594,2.0513,-2.9081,6.9016,2.4276,-4.4740,4.0911,1.3933,-2.6978,0.6316,1.0000,+0.3684,9.8224,10.6189,+0.7965,0.3246,0.1199,-0.2047
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,all,3.9361,1.4240,-2.5121,5.7989,1.7848,-4.0141,3.1733,1.1058,-2.0675,0.7519,1.0000,+0.2481,10.9668,11.8544,+0.8876,0.2743,0.0857,-0.1886
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,1,1.5733,0.5382,-1.0351,2.3402,0.6481,-1.6921,1.2940,0.7920,-0.5020,0.9583,1.0000,+0.0417,11.4856,12.4044,+0.9188,0.1639,0.1991,+0.0352
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,2,2.7189,1.0228,-1.6961,3.9983,1.2130,-2.7853,2.1087,0.9322,-1.1765,0.8696,1.0000,+0.1304,11.7258,12.6639,+0.9381,0.2150,0.1425,-0.0725
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,3,3.5048,1.3820,-2.1228,5.0504,1.6891,-3.3613,2.7098,1.0752,-1.6346,0.8182,1.0000,+0.1818,11.3153,12.2205,+0.9052,0.2323,0.0970,-0.1353
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,4,3.9558,1.7148,-2.2410,5.6036,2.0818,-3.5218,3.0828,1.2292,-1.8536,0.7619,1.0000,+0.2381,10.8249,11.6909,+0.8660,0.2566,0.0989,-0.1577
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,5,4.1321,1.9190,-2.2131,5.7870,2.3801,-3.4069,3.2533,1.3712,-1.8821,0.7000,1.0000,+0.3000,10.3243,11.1502,+0.8259,0.2778,0.1278,-0.1500
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,6,4.0966,2.1284,-1.9682,5.7317,2.5688,-3.1629,3.2652,1.4774,-1.7878,0.6842,1.0000,+0.3158,9.8224,10.6082,+0.7858,0.2661,0.1725,-0.0936
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,all,3.2632,1.4083,-1.8549,4.8334,1.8392,-2.9942,2.5660,1.1272,-1.4388,0.8062,1.0000,+0.1938,10.9668,11.8442,+0.8774,0.2321,0.0947,-0.1374
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,1,2.4325,2.3272,-0.1053,3.5166,3.1660,-0.3506,1.8629,1.7493,-0.1136,0.9167,0.9167,+0.0000,10.2508,13.0363,+2.7855,0.0741,0.0454,-0.0287
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,2,2.6261,2.3151,-0.3110,4.0376,3.0780,-0.9596,2.1373,1.7799,-0.3574,0.7826,0.9130,+0.1304,10.2471,13.5625,+3.3154,0.1377,0.0700,-0.0677
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,3,3.1862,2.4741,-0.7121,4.6572,3.0716,-1.5856,2.6007,1.8094,-0.7913,0.7727,0.8636,+0.0909,9.8539,12.9831,+3.1292,0.1717,0.0515,-0.1202
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,4,3.5118,2.7352,-0.7766,5.2399,3.3439,-1.8960,2.9711,1.9173,-1.0538,0.7143,0.9048,+0.1905,9.4148,12.2302,+2.8154,0.1825,0.0524,-0.1301
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,5,3.7706,2.9327,-0.8379,5.9598,3.7467,-2.2131,3.2517,2.0553,-1.1964,0.7000,0.9000,+0.2000,8.9751,11.7119,+2.7368,0.1889,0.0778,-0.1111
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,6,3.7839,2.9718,-0.8121,5.3910,3.2586,-2.1324,3.1744,1.9932,-1.1812,0.6842,0.8421,+0.1579,8.5411,11.2305,+2.6894,0.1784,0.1035,-0.0749
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,all,3.1777,2.6053,-0.5724,4.8128,3.2747,-1.5381,2.6266,1.8757,-0.7509,0.7674,0.8915,+0.1241,9.5968,12.5185,+2.9217,0.1529,0.0438,-0.1091
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,1,2.4583,2.3049,-0.1534,3.4978,3.1207,-0.3771,1.8480,1.7180,-0.1300,0.9167,0.9583,+0.0416,13.9552,15.2974,+1.3422,0.1009,0.0741,-0.0268
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,2,2.7066,2.1949,-0.5117,4.0660,2.9990,-1.0670,2.1314,1.6993,-0.4321,0.9130,0.9565,+0.0435,14.3421,15.7556,+1.4135,0.1715,0.0768,-0.0947
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,3,3.2622,2.1647,-1.0975,4.6595,2.8881,-1.7714,2.4969,1.6633,-0.8336,0.8636,1.0000,+0.1364,13.9489,15.3373,+1.3884,0.1919,0.0707,-0.1212
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,4,3.5869,2.3358,-1.2511,5.2548,3.0815,-2.1733,2.8579,1.7237,-1.1342,0.7619,0.9524,+0.1905,13.4606,14.8088,+1.3482,0.2196,0.0778,-0.1418
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,5,3.8888,2.4759,-1.4129,6.0173,3.4571,-2.5602,3.1746,1.8269,-1.3477,0.8000,0.9500,+0.1500,12.9602,14.2658,+1.3056,0.2500,0.0667,-0.1833
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,6,3.8368,2.2992,-1.5376,5.4023,2.8517,-2.5506,3.0133,1.6394,-1.3739,0.7895,1.0000,+0.2105,12.4583,13.7204,+1.2621,0.2485,0.0673,-0.1812
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,all,3.2482,2.2921,-0.9561,4.8305,3.0716,-1.7589,2.5509,1.7116,-0.8393,0.8450,0.9690,+0.1240,13.5679,14.9142,+1.3463,0.1925,0.0676,-0.1249
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,1,2.6228,2.3149,-0.3079,3.7805,3.2168,-0.5637,1.9638,1.7019,-0.2619,0.9167,0.9167,+0.0000,11.4856,12.9083,+1.4227,0.1389,0.0500,-0.0889
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,2,3.2192,2.2718,-0.9474,4.7238,3.2609,-1.4629,2.5017,1.7439,-0.7578,0.7826,0.9130,+0.1304,11.7258,13.2563,+1.5305,0.2198,0.0855,-0.1343
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,3,3.9668,2.4046,-1.5622,5.5680,3.3141,-2.2539,3.1059,1.8123,-1.2936,0.7727,0.8636,+0.0909,11.3153,12.8229,+1.5076,0.2778,0.1111,-0.1667
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,4,4.4276,2.6622,-1.7654,6.2967,3.6190,-2.6777,3.5878,1.9556,-1.6322,0.7143,0.9048,+0.1905,10.8249,12.2852,+1.4603,0.2884,0.1349,-0.1535
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,5,4.8076,2.7736,-2.0340,7.0982,4.0978,-3.0004,4.0002,2.1196,-1.8806,0.7000,0.9000,+0.2000,10.3243,11.7325,+1.4082,0.3056,0.1389,-0.1667
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,6,4.7317,2.6360,-2.0957,6.5217,3.4669,-3.0548,3.8637,1.9546,-1.9091,0.6842,0.8947,+0.2105,9.8224,11.1768,+1.3544,0.3421,0.1374,-0.2047
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,all,3.9015,2.4975,-1.4040,5.6969,3.4928,-2.2041,3.1144,1.8715,-1.2429,0.7674,0.8992,+0.1318,10.9668,12.4170,+1.4502,0.2571,0.1038,-0.1533
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,1,2.4583,2.3049,-0.1534,3.4978,3.1207,-0.3771,1.8217,1.6712,-0.1505,0.9167,0.9167,+0.0000,11.4856,12.8043,+1.3187,0.1019,0.0398,-0.0621
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,2,2.7066,2.1949,-0.5117,4.0660,2.9990,-1.0670,2.1143,1.6455,-0.4688,0.8696,0.9130,+0.0434,11.7258,13.1328,+1.4070,0.1763,0.0671,-0.1092
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,3,3.2622,2.1647,-1.0975,4.6595,2.8881,-1.7714,2.5188,1.6185,-0.9003,0.8182,1.0000,+0.1818,11.3153,12.6966,+1.3813,0.2172,0.0556,-0.1616
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,4,3.5869,2.3358,-1.2511,5.2548,3.0815,-2.1733,2.8992,1.6864,-1.2128,0.7619,0.9048,+0.1429,10.8249,12.1601,+1.3352,0.2354,0.0704,-0.1650
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,5,3.8888,2.4759,-1.4129,6.0173,3.4571,-2.5602,3.2290,1.7955,-1.4335,0.7000,0.9500,+0.2500,10.3243,11.6095,+1.2852,0.2556,0.0667,-0.1889
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,6,3.8368,2.2992,-1.5376,5.4023,2.8517,-2.5506,3.0780,1.6253,-1.4527,0.6842,1.0000,+0.3158,9.8224,11.0561,+1.2337,0.2661,0.0556,-0.2105
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,all,3.2482,2.2921,-0.9561,4.8305,3.0716,-1.7589,2.5714,1.6726,-0.8988,0.7984,0.9457,+0.1473,10.9668,12.2969,+1.3301,0.2046,0.0487,-0.1559
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,1,4.4632,4.6489,+0.1857,6.3615,6.8741,+0.5126,3.5807,3.6165,+0.0358,0.7500,0.7917,+0.0417,10.2508,15.3217,+5.0709,0.0880,0.0324,-0.0556
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,2,4.4662,4.5070,+0.0408,6.3965,6.9180,+0.5215,3.6913,3.6432,-0.0481,0.6087,0.7826,+0.1739,10.2471,16.0005,+5.7534,0.1444,0.0401,-0.1043
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,3,4.9367,5.2283,+0.2916,7.0069,7.2638,+0.2569,4.0838,4.0444,-0.0394,0.5909,0.7273,+0.1364,9.8539,15.4710,+5.6171,0.1323,0.0495,-0.0828
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,4,5.5188,5.3644,-0.1544,7.5804,8.1273,+0.5469,4.6590,4.2756,-0.3834,0.5714,0.7619,+0.1905,9.4148,14.6312,+5.2164,0.1635,0.0556,-0.1079
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,5,5.1662,5.4417,+0.2755,8.3434,7.8447,-0.4987,4.5659,4.2791,-0.2868,0.6000,0.7500,+0.1500,8.9751,13.7438,+4.7687,0.1833,0.0667,-0.1166
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,6,4.8340,4.7921,-0.0419,6.3000,6.6462,+0.3462,4.0729,3.6727,-0.4002,0.5789,0.7368,+0.1579,8.2925,13.1001,+4.8076,0.1667,0.0906,-0.0761
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,all,4.8799,4.9829,+0.1030,7.0136,7.2885,+0.2749,4.0870,3.9125,-0.1745,0.6202,0.7597,+0.1395,9.5601,14.7839,+5.2238,0.1376,0.0449,-0.0927
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,1,4.4050,4.2801,-0.1249,6.3195,6.2149,-0.1046,3.4187,3.2981,-0.1206,0.7500,0.8333,+0.0833,13.9552,18.3504,+4.3952,0.0889,0.0407,-0.0482
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,2,4.3395,3.8360,-0.5035,6.2826,5.6407,-0.6419,3.3925,3.0557,-0.3368,0.8261,0.9130,+0.0869,14.3421,19.2922,+4.9501,0.1570,0.0662,-0.0908
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,3,4.8777,4.2095,-0.6682,6.8566,5.5705,-1.2861,3.7614,3.1116,-0.6498,0.7727,0.9091,+0.1364,13.9489,18.9409,+4.9920,0.1515,0.0424,-0.1091
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,4,5.1897,3.9771,-1.2126,7.4154,5.6681,-1.7473,4.1278,3.1124,-1.0154,0.6190,0.8571,+0.2381,13.4606,18.2954,+4.8348,0.1984,0.0714,-0.1270
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,5,5.0963,3.9033,-1.1930,8.1193,5.9566,-2.1627,4.1910,3.0086,-1.1824,0.7500,0.9000,+0.1500,12.9602,17.6151,+4.6549,0.2333,0.0722,-0.1611
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,6,4.8443,3.2966,-1.5477,6.3016,4.1130,-2.1886,3.7804,2.3654,-1.4150,0.6842,0.9474,+0.2632,12.4583,16.8772,+4.4189,0.2485,0.0918,-0.1567
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,all,4.7736,3.9363,-0.8373,6.8925,5.6012,-1.2913,3.7609,3.0106,-0.7503,0.7364,0.8915,+0.1551,13.5679,18.2791,+4.7112,0.1744,0.0564,-0.1180
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,1,4.5454,4.2836,-0.2618,6.4601,6.2459,-0.2142,3.5896,3.3050,-0.2846,0.7500,0.7500,+0.0000,11.4856,15.2450,+3.7594,0.1259,0.0444,-0.0815
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,2,4.7549,3.9222,-0.8327,6.7442,5.7827,-0.9615,3.7719,3.0984,-0.6735,0.6522,0.8261,+0.1739,11.7258,16.0593,+4.3335,0.1957,0.0894,-0.1063
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,3,5.3422,4.3276,-1.0146,7.5620,5.8324,-1.7296,4.3314,3.2515,-1.0799,0.6818,0.8182,+0.1364,11.3153,15.6672,+4.3519,0.2222,0.0808,-0.1414
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,4,5.8043,4.3295,-1.4748,8.2866,6.0497,-2.2369,4.8231,3.3407,-1.4824,0.5714,0.8095,+0.2381,10.8249,15.0433,+4.2184,0.2566,0.1243,-0.1323
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,5,5.9605,4.2069,-1.7536,9.0876,6.4706,-2.6170,5.0270,3.2806,-1.7464,0.6500,0.8500,+0.2000,10.3243,14.3715,+4.0472,0.2944,0.1278,-0.1666
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,6,5.6291,3.7083,-1.9208,7.3604,4.6005,-2.7599,4.6564,2.7323,-1.9241,0.5789,0.8421,+0.2632,9.8224,13.6874,+3.8650,0.3246,0.1608,-0.1638
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,all,5.3026,4.1375,-1.1651,7.5887,5.8811,-1.7076,4.3294,3.1767,-1.1527,0.6512,0.8140,+0.1628,10.9668,15.0645,+4.0977,0.2304,0.0986,-0.1318
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,1,4.4050,4.2801,-0.1249,6.3195,6.2149,-0.1046,3.4798,3.2951,-0.1847,0.7500,0.7500,+0.0000,11.4856,15.2284,+3.7428,0.0935,0.0370,-0.0565
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,2,4.3395,3.8360,-0.5035,6.2826,5.6407,-0.6419,3.4593,3.0272,-0.4321,0.6957,0.8696,+0.1739,11.7258,16.0396,+4.3138,0.1667,0.0710,-0.0957
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,3,4.8777,4.2095,-0.6682,6.8566,5.5705,-1.2861,3.8566,3.1248,-0.7318,0.6818,0.9091,+0.2273,11.3153,15.6411,+4.3258,0.1717,0.0414,-0.1303
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,4,5.1897,3.9771,-1.2126,7.4154,5.6681,-1.7473,4.2385,3.1020,-1.1365,0.6190,0.8095,+0.1905,10.8249,15.0137,+4.1888,0.2037,0.0767,-0.1270
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,5,5.0963,3.9033,-1.1930,8.1193,5.9566,-2.1627,4.2818,2.9908,-1.2910,0.6500,0.9000,+0.2500,10.3243,14.3387,+4.0144,0.2333,0.0667,-0.1666
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,6,4.8443,3.2966,-1.5477,6.3016,4.1130,-2.1886,3.9057,2.3666,-1.5391,0.5789,0.9474,+0.3685,9.8224,13.6517,+3.8293,0.2602,0.1152,-0.1450
synthetic_outlier,synthetic,prior_7_8_with_killer,llambo_style,all,4.7736,3.9363,-0.8373,6.8925,5.6012,-1.2913,3.8510,3.0029,-0.8481,0.6667,0.8605,+0.1938,10.9668,15.0383,+4.0715,0.1830,0.0599,-0.1231
