dataset,dataset_type,scenario,model,model_version,horizon,n,mae,rmse,crps_approx,coverage95,mean_interval_width,calibration_error,failed_predictions
sample_observations,observed,prior_10_12_with_killer,llambo_style,baseline,1,1,0.3017,0.3017,0.5533,1.0000,9.0160,0.2778,0
sample_observations,observed,prior_10_12_with_killer,llambo_style,hardened,1,1,1.9000,1.9000,1.1336,1.0000,9.7373,0.3444,0
sample_observations,observed,prior_3_5_with_killer,llambo_style,baseline,1,1,0.3017,0.3017,0.8422,1.0000,13.9552,0.2778,0
sample_observations,observed,prior_3_5_with_killer,llambo_style,hardened,1,1,1.9000,1.9000,1.2656,1.0000,15.0716,0.3000,0
sample_observations,observed,prior_7_8_no_killer,llambo_style,baseline,1,1,0.9068,0.9068,0.7958,1.0000,11.4856,0.3000,0
sample_observations,observed,prior_7_8_no_killer,llambo_style,hardened,1,1,1.9000,1.9000,1.1814,1.0000,12.4044,0.3444,0
sample_observations,observed,prior_7_8_with_killer,gp_surrogate,baseline,1,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
sample_observations,observed,prior_7_8_with_killer,linear_trend,baseline,1,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
sample_observations,observed,prior_7_8_with_killer,llambo_style,baseline,1,1,0.3017,0.3017,0.6971,1.0000,11.4856,0.2778,0
sample_observations,observed,prior_7_8_with_killer,llambo_style,hardened,1,1,1.9000,1.9000,1.1814,1.0000,12.4044,0.3444,0
sample_observations,observed,prior_7_8_with_killer,logistic_scurve,baseline,1,0,,,,,,,1
sample_observations,observed,prior_7_8_with_killer,persistence,baseline,1,1,4.5000,4.5000,3.3886,0.0000,7.8400,0.5000,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,1,24,1.5260,2.3312,1.3103,0.8750,10.2508,0.1389,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,2,23,2.5921,3.9727,2.1609,0.8261,10.4532,0.1522,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,3,22,3.3084,5.0057,2.7562,0.7727,9.8887,0.1768,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,4,21,3.6667,5.5345,3.1057,0.6667,9.4178,0.1772,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,5,20,3.6946,5.6848,3.2216,0.6500,8.7549,0.1667,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,baseline,6,19,3.7517,5.6339,3.2230,0.6316,8.0611,0.1901,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,1,24,0.5970,0.7539,0.7839,1.0000,11.8928,0.1944,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,2,23,1.1066,1.3586,0.9563,1.0000,11.9837,0.1551,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,3,22,1.5005,1.8768,1.1520,1.0000,11.6001,0.1384,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,4,21,1.8552,2.2721,1.3481,1.0000,10.9164,0.2090,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,5,20,2.1590,2.6161,1.5504,0.9500,10.4400,0.2500,0
synthetic_clean,synthetic,prior_10_12_with_killer,llambo_style,hardened,6,19,2.5431,2.9169,1.7582,0.8947,9.9947,0.3129,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,1,24,1.5733,2.3402,1.3620,1.0000,13.9552,0.1620,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,2,23,2.7189,3.9983,2.1223,0.8696,14.3421,0.1860,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,3,22,3.5048,5.0504,2.6823,0.8636,13.9489,0.2222,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,4,21,3.9558,5.6036,3.0259,0.8095,13.4606,0.2354,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,5,20,4.1321,5.7870,3.1790,0.8000,12.9602,0.2500,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,baseline,6,19,4.0966,5.7317,3.1850,0.7895,12.4583,0.2602,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,1,24,0.5382,0.6481,0.9419,1.0000,15.0716,0.2037,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,2,23,1.0228,1.2130,1.0695,1.0000,15.4895,0.1715,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,3,22,1.3820,1.6891,1.1842,1.0000,15.0648,0.1414,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,4,21,1.7148,2.0818,1.3071,1.0000,14.5374,0.1169,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,5,20,1.9190,2.3801,1.4200,1.0000,13.9970,0.1278,0
synthetic_clean,synthetic,prior_3_5_with_killer,llambo_style,hardened,6,19,2.1284,2.5688,1.5014,1.0000,13.4550,0.1725,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,1,24,1.9034,2.8036,1.5211,0.9167,11.4856,0.1944,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,2,23,3.2921,4.7854,2.5837,0.8261,11.7258,0.2536,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,3,22,4.2156,6.0468,3.3608,0.7727,11.3153,0.2879,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,4,21,4.7569,6.7167,3.8374,0.6667,10.8249,0.2989,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,5,20,4.9746,6.9490,4.0584,0.6500,10.3243,0.3056,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,baseline,6,19,4.9594,6.9016,4.0911,0.6316,9.8224,0.3246,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,1,24,0.5641,0.6568,0.7940,1.0000,12.4131,0.1991,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,2,23,1.0713,1.2187,0.9350,1.0000,12.6742,0.1377,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,3,22,1.4346,1.6782,1.0733,1.0000,12.2312,0.0909,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,4,21,1.7277,2.0381,1.2119,1.0000,11.7016,0.0672,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,5,20,1.9352,2.2938,1.3275,1.0000,11.1610,0.0833,0
synthetic_clean,synthetic,prior_7_8_no_killer,llambo_style,hardened,6,19,2.0513,2.4276,1.3933,1.0000,10.6189,0.1199,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,1,24,2.0412,2.1167,1.3262,0.8750,8.5467,0.3565,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,2,23,5.4611,5.5506,3.7224,0.7391,16.6906,0.4179,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,3,22,10.3289,10.4382,7.3440,0.6364,25.5612,0.4596,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,4,21,15.8769,16.0111,11.7584,0.4762,32.4874,0.4683,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,5,20,21.2201,21.3733,16.3390,0.3500,36.6812,0.4833,0
synthetic_clean,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,6,19,25.7540,25.9114,20.5282,0.2632,38.1303,0.5000,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,1,24,3.8041,4.7250,2.9452,0.5000,7.5191,0.1444,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,2,23,4.6978,5.5830,3.6096,0.5652,9.8858,0.1444,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,3,22,5.5866,6.4201,4.3483,0.5000,11.4927,0.1495,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,4,21,6.4622,7.2773,5.0976,0.5238,12.6850,0.1444,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,5,20,7.3169,8.1670,5.8357,0.6000,13.6406,0.1389,0
synthetic_clean,synthetic,prior_7_8_with_killer,linear_trend,baseline,6,19,8.1352,9.0563,6.5418,0.6842,14.3856,0.1503,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,1,24,1.5733,2.3402,1.2940,0.9583,11.4856,0.1639,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,2,23,2.7189,3.9983,2.1087,0.8696,11.7258,0.2150,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,3,22,3.5048,5.0504,2.7098,0.8182,11.3153,0.2323,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,4,21,3.9558,5.6036,3.0828,0.7619,10.8249,0.2566,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,5,20,4.1321,5.7870,3.2533,0.7000,10.3243,0.2778,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,baseline,6,19,4.0966,5.7317,3.2652,0.6842,9.8224,0.2661,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,1,24,0.5382,0.6481,0.7920,1.0000,12.4044,0.1991,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,2,23,1.0228,1.2130,0.9322,1.0000,12.6639,0.1425,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,3,22,1.3820,1.6891,1.0752,1.0000,12.2205,0.0970,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,4,21,1.7148,2.0818,1.2292,1.0000,11.6909,0.0989,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,5,20,1.9190,2.3801,1.3712,1.0000,11.1502,0.1278,0
synthetic_clean,synthetic,prior_7_8_with_killer,llambo_style,hardened,6,19,2.1284,2.5688,1.4774,1.0000,10.6082,0.1725,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,1,24,3.0285,3.5033,2.1671,0.7917,10.5294,0.2639,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,2,23,3.7442,4.3169,2.7977,0.6957,11.6696,0.2826,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,3,22,4.6014,5.2440,3.5230,0.7273,12.6453,0.3182,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,4,21,5.4467,6.2556,4.3113,0.6667,13.4068,0.3148,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,5,20,6.2361,7.3127,5.1177,0.6000,13.9855,0.3222,0
synthetic_clean,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,6,19,7.0672,8.3771,5.9214,0.5789,14.4576,0.3304,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,baseline,1,24,1.9394,2.2737,1.5395,0.3750,3.9368,0.3981,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,baseline,2,23,3.9420,4.6037,3.3384,0.3043,5.5297,0.4130,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,baseline,3,22,6.0069,6.9687,5.2355,0.2727,6.7218,0.4242,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,baseline,4,21,8.1293,9.3433,7.1927,0.2381,7.7043,0.4365,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,baseline,5,20,10.2954,11.6985,9.1931,0.2500,8.5628,0.4556,0
synthetic_clean,synthetic,prior_7_8_with_killer,persistence,baseline,6,19,12.4951,14.0085,11.2301,0.2105,9.3527,0.4766,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,1,24,2.4325,3.5166,1.8629,0.9167,10.2508,0.0741,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,2,23,2.6261,4.0376,2.1373,0.7826,10.2471,0.1377,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,3,22,3.1862,4.6572,2.6007,0.7727,9.8539,0.1717,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,4,21,3.5118,5.2399,2.9711,0.7143,9.4148,0.1825,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,5,20,3.7706,5.9598,3.2517,0.7000,8.9751,0.1889,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,baseline,6,19,3.7839,5.3910,3.1744,0.6842,8.5411,0.1784,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,1,24,2.3272,3.1660,1.7493,0.9167,13.0363,0.0454,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,2,23,2.3151,3.0780,1.7799,0.9130,13.5625,0.0700,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,3,22,2.4741,3.0716,1.8094,0.8636,12.9831,0.0515,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,4,21,2.7352,3.3439,1.9173,0.9048,12.2302,0.0524,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,5,20,2.9327,3.7467,2.0553,0.9000,11.7119,0.0778,0
synthetic_noisy,synthetic,prior_10_12_with_killer,llambo_style,hardened,6,19,2.9718,3.2586,1.9932,0.8421,11.2305,0.1035,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,1,24,2.4583,3.4978,1.8480,0.9167,13.9552,0.1009,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,2,23,2.7066,4.0660,2.1314,0.9130,14.3421,0.1715,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,3,22,3.2622,4.6595,2.4969,0.8636,13.9489,0.1919,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,4,21,3.5869,5.2548,2.8579,0.7619,13.4606,0.2196,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,5,20,3.8888,6.0173,3.1746,0.8000,12.9602,0.2500,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,baseline,6,19,3.8368,5.4023,3.0133,0.7895,12.4583,0.2485,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,1,24,2.3049,3.1207,1.7180,0.9583,15.2974,0.0741,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,2,23,2.1949,2.9990,1.6993,0.9565,15.7556,0.0768,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,3,22,2.1647,2.8881,1.6633,1.0000,15.3373,0.0707,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,4,21,2.3358,3.0815,1.7237,0.9524,14.8088,0.0778,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,5,20,2.4759,3.4571,1.8269,0.9500,14.2658,0.0667,0
synthetic_noisy,synthetic,prior_3_5_with_killer,llambo_style,hardened,6,19,2.2992,2.8517,1.6394,1.0000,13.7204,0.0673,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,1,24,2.6228,3.7805,1.9638,0.9167,11.4856,0.1389,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,2,23,3.2192,4.7238,2.5017,0.7826,11.7258,0.2198,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,3,22,3.9668,5.5680,3.1059,0.7727,11.3153,0.2778,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,4,21,4.4276,6.2967,3.5878,0.7143,10.8249,0.2884,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,5,20,4.8076,7.0982,4.0002,0.7000,10.3243,0.3056,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,baseline,6,19,4.7317,6.5217,3.8637,0.6842,9.8224,0.3421,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,1,24,2.3149,3.2168,1.7019,0.9167,12.9083,0.0500,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,2,23,2.2718,3.2609,1.7439,0.9130,13.2563,0.0855,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,3,22,2.4046,3.3141,1.8123,0.8636,12.8229,0.1111,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,4,21,2.6622,3.6190,1.9556,0.9048,12.2852,0.1349,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,5,20,2.7736,4.0978,2.1196,0.9000,11.7325,0.1389,0
synthetic_noisy,synthetic,prior_7_8_no_killer,llambo_style,hardened,6,19,2.6360,3.4669,1.9546,0.8947,11.1768,0.1374,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,1,24,3.8451,4.5566,2.7379,0.8750,14.7792,0.2454,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,2,23,6.8887,7.7594,4.7645,0.8261,23.3127,0.3696,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,3,22,12.1313,12.6450,8.4285,0.6364,32.0023,0.4343,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,4,21,17.3147,17.6944,12.4408,0.5238,38.3529,0.4735,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,5,20,21.8524,22.1693,16.2719,0.3500,41.8346,0.4889,0
synthetic_noisy,synthetic,prior_7_8_with_killer,gp_surrogate,baseline,6,19,26.1482,26.3097,20.2271,0.3158,43.0156,0.5000,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,1,24,3.9313,4.8416,2.9061,0.7500,10.0588,0.1139,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,2,23,4.3122,5.3059,3.0783,0.7826,13.6536,0.0807,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,3,22,4.6044,5.7234,3.3315,0.9091,16.2586,0.0576,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,4,21,5.1086,6.1650,3.6397,0.9048,18.3020,0.0429,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,5,20,5.7458,6.6349,3.9584,1.0000,20.0055,0.0722,0
synthetic_noisy,synthetic,prior_7_8_with_killer,linear_trend,baseline,6,19,6.1918,7.0703,4.2318,1.0000,21.5043,0.0614,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,1,24,2.4583,3.4978,1.8217,0.9167,11.4856,0.1019,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,2,23,2.7066,4.0660,2.1143,0.8696,11.7258,0.1763,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,3,22,3.2622,4.6595,2.5188,0.8182,11.3153,0.2172,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,4,21,3.5869,5.2548,2.8992,0.7619,10.8249,0.2354,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,5,20,3.8888,6.0173,3.2290,0.7000,10.3243,0.2556,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,baseline,6,19,3.8368,5.4023,3.0780,0.6842,9.8224,0.2661,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,1,24,2.3049,3.1207,1.6712,0.9167,12.8043,0.0398,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,2,23,2.1949,2.9990,1.6455,0.9130,13.1328,0.0671,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,3,22,2.1647,2.8881,1.6185,1.0000,12.6966,0.0556,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,4,21,2.3358,3.0815,1.6864,0.9048,12.1601,0.0704,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,5,20,2.4759,3.4571,1.7955,0.9500,11.6095,0.0667,0
synthetic_noisy,synthetic,prior_7_8_with_killer,llambo_style,hardened,6,19,2.2992,2.8517,1.6253,1.0000,11.0561,0.0556,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,1,24,2.6477,3.1282,1.8150,0.9583,12.9559,0.1435,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,2,23,2.9041,3.5424,2.0270,0.9565,14.5420,0.1937,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,3,22,3.3195,4.0718,2.3387,0.9091,15.8988,0.2071,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,4,21,3.9111,4.6461,2.7078,0.9048,17.2006,0.2302,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,5,20,4.4294,5.2688,3.0931,0.9000,18.3102,0.2167,0
synthetic_noisy,synthetic,prior_7_8_with_killer,logistic_scurve,baseline,6,19,4.9610,5.9613,3.5345,0.8421,19.3541,0.2602,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,baseline,1,24,2.9423,3.6255,2.0374,1.0000,16.1280,0.1713,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,baseline,2,23,4.0074,5.1440,2.8320,1.0000,22.9426,0.2295,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,baseline,3,22,6.0184,7.1618,4.0050,1.0000,28.1261,0.2828,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,baseline,4,21,7.9945,9.2020,5.2382,1.0000,32.3790,0.3148,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,baseline,5,20,9.7801,11.0968,6.4454,1.0000,36.1961,0.3444,0
synthetic_noisy,synthetic,prior_7_8_with_killer,persistence,baseline,6,19,12.0136,13.5079,8.0102,0.9474,39.8988,0.3596,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,1,24,4.4632,6.3615,3.5807,0.7500,10.2508,0.0880,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,2,23,4.4662,6.3965,3.6913,0.6087,10.2471,0.1444,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,3,22,4.9367,7.0069,4.0838,0.5909,9.8539,0.1323,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,4,21,5.5188,7.5804,4.6590,0.5714,9.4148,0.1635,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,5,20,5.1662,8.3434,4.5659,0.6000,8.9751,0.1833,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,baseline,6,19,4.8340,6.3000,4.0729,0.5789,8.2925,0.1667,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,1,24,4.6489,6.8741,3.6165,0.7917,15.3217,0.0324,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,2,23,4.5070,6.9180,3.6432,0.7826,16.0005,0.0401,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,3,22,5.2283,7.2638,4.0444,0.7273,15.4710,0.0495,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,4,21,5.3644,8.1273,4.2756,0.7619,14.6312,0.0556,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,5,20,5.4417,7.8447,4.2791,0.7500,13.7438,0.0667,0
synthetic_outlier,synthetic,prior_10_12_with_killer,llambo_style,hardened,6,19,4.7921,6.6462,3.6727,0.7368,13.1001,0.0906,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,1,24,4.4050,6.3195,3.4187,0.7500,13.9552,0.0889,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,2,23,4.3395,6.2826,3.3925,0.8261,14.3421,0.1570,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,3,22,4.8777,6.8566,3.7614,0.7727,13.9489,0.1515,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,4,21,5.1897,7.4154,4.1278,0.6190,13.4606,0.1984,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,5,20,5.0963,8.1193,4.1910,0.7500,12.9602,0.2333,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,baseline,6,19,4.8443,6.3016,3.7804,0.6842,12.4583,0.2485,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,1,24,4.2801,6.2149,3.2981,0.8333,18.3504,0.0407,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,2,23,3.8360,5.6407,3.0557,0.9130,19.2922,0.0662,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,3,22,4.2095,5.5705,3.1116,0.9091,18.9409,0.0424,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,4,21,3.9771,5.6681,3.1124,0.8571,18.2954,0.0714,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,5,20,3.9033,5.9566,3.0086,0.9000,17.6151,0.0722,0
synthetic_outlier,synthetic,prior_3_5_with_killer,llambo_style,hardened,6,19,3.2966,4.1130,2.3654,0.9474,16.8772,0.0918,0
synthetic_outlier,synthetic,prior_7_8_no_killer,llambo_style,baseline,1,24,4.5454,6.4601,3.5896,0.7500,11.4856,0.1259,0
